期別	收盤	漲跌	漲跌(%)	成交量(億元)	融資增減	融資餘額	融卷增減	融卷餘額	外資買賣超(億元)	投信買賣超(億元)	自營商買賣超(億元)	三大法人合計
'26/03/16	317.19	4.29	1.37	"1,550.71"	23.4	"1,378.68"	"1,611"	"44,880"	-26.24	9.716	8.354	-8.165
'26/03/13	312.9	1.31	0.42	"1,418.39"	2.53	"1,355.31"	"-1,696"	"43,269"	-0.462	-4.203	4.634	-0.03
'26/03/12	311.59	0.09	0.03	"1,640.11"	-1.89	"1,352.78"	-773	"44,965"	-23.03	-9.909	1.689	-31.25
'26/03/11	311.5	13.97	4.7	"1,510.68"	32.6	"1,354.67"	"2,484"	"45,738"	31.47	0.851	17.96	50.29
'26/03/10	297.53	8.57	2.97	"1,456.16"	6.35	"1,322.07"	"-1,361"	"43,254"	45.87	9.607	-0.733	54.74
'26/03/09	288.96	-17.53	-5.72	"1,229.79"	-77.4	"1,315.72"	"-4,310"	"44,615"	1.909	-3.547	-34.48	-36.12
'26/03/06	306.49	2.28	0.75	"1,339.21"	9.24	"1,393.09"	"-2,319"	"48,925"	14.97	-14.95	10.94	10.95
'26/03/05	304.21	10.41	3.54	"1,593.79"	18.8	"1,383.86"	"1,923"	"51,244"	12.06	-17.1	-0.514	-5.555
'26/03/04	293.8	-15.01	-4.86	"1,751.91"	-13.7	"1,365.01"	"-2,285"	"49,321"	-7.039	-22.08	-30.48	-59.6
'26/03/03	308.81	-7.2	-2.28	"2,085.05"	-10.4	"1,378.70"	"-1,239"	"51,606"	-31.98	-8.275	-38.82	-79.08
'26/03/02	316.01	-0.72	-0.23	"1,746.78"	10.6	"1,389.11"	-658	"52,845"	29.04	-31.37	-4.084	-6.414
'26/02/26	316.73	3.49	1.11	"2,143.70"	30	"1,378.48"	"-1,810"	"53,503"	15.73	-42	5.328	-20.94
'26/02/25	313.24	1.8	0.58	"2,075.67"	12	"1,348.46"	"-2,877"	"55,313"	-33.85	-23.02	-1.666	-58.54
'26/02/24	311.44	7.61	2.5	"1,708.53"	14.3	"1,336.44"	"4,983"	"58,190"	207.9	-10.36	26.42	224
'26/02/23	303.83	6.12	2.06	"1,581.34"	11.3	"1,322.18"	"5,634"	"53,207"	114.5	-11.6	-14.33	88.56
